id,kernel,native_us,raised_us,raised_over_native,speedup_percent,semantic_family,raised_library,raised_call,timing_source,timing_protocol
131,aten_joint_scaling_cpu,2260.544,917.407999,0.40583505519025515,146.40552540026414,joint_maxabs_product,cuBLAS,cublasJointMaxAbsProduct_f32_memref,historical resident sweep,raised best of 20; retained native baseline
132,aten_sspaddmm_cpu,2263.808,260.959961,0.11527477639446455,767.49246563537,sparse_linear_algebra,cuSPARSE,cusparseSpMM_COO_f32_memref,historical resident sweep,raised best of 20; retained native baseline
133,aten_xor_sum_cpu,2642.624,168.032,0.06358528492891914,1472.690916015997,reduction,CUB,cubSegmentedBitXor_i32,historical resident sweep,raised best of 20; retained native baseline
134,aten_conv_transpose3d_grad_weight_cpu,2718.496,3006.496002,1.1059409327804786,-9.579257774113604,convolution,cuDNN,cudnnConvolutionBackwardFilter3D_f32_memref,current Section 4.2 campaign,minimum of 5 after 5 warmups
135,aten_slow_conv3d_backward_weight_cpu,2781.824,8587.552246,3.087022128646528,-67.60632226376559,convolution,cuDNN,cudnnConvolutionBackwardFilter3D_f32_memref,historical resident sweep,raised best of 20; retained native baseline
136,aten_cpu_blas_gemm_cpu,3778.624,3750.080002,0.9924459279356719,0.761157041577154,dense_linear_algebra,cuBLAS,cublasSgemm_nn_zero,historical resident sweep,raised best of 20; retained native baseline
137,aten_embedding_bag_counts_cpu,3909.408,4233.151855,1.0828114781061482,-7.64782049142908,histogram_count,CUB,cubHistogramEvenI32ShiftZero_memref,historical resident sweep,raised best of 20; retained native baseline
138,aten_unbind_copy_cpu,3982.368,217.664001,0.054656927988573634,1729.5942285835313,data_movement,CUDA Runtime,cudaCopy2D_f32_tensor,current Section 4.2 campaign,minimum of 5 after 5 warmups
139,aten_sparse_addmv_bsr_cpu,4468.64,634.975998,0.1420960287693795,603.7494352660556,sparse_linear_algebra,cuSPARSE,cusparseSpMM_BSR_f32_memref,current Section 4.2 campaign,minimum of 5 after 5 warmups
140,aten_conv1d,5172.288,4714.207993,0.9114357114298354,9.717008831179918,convolution,cuDNN,cudnnConvolution1D_f32_bias,current Section 4.2 campaign,minimum of 5 after 5 warmups
141,aten_sparse_csr_addmm_cpu,6758.56,6848.479996,1.013304608674037,-1.3129920223541425,sparse_linear_algebra,cuSPARSE,cusparseSpMM_CSR_f32_memref,current Section 4.2 campaign,minimum of 5 after 5 warmups
142,aten_quant_col_offsets_cpu,7274.784,2781.216,0.38230908299133004,161.56846501674087,column_reduction,CUB,cubQuantColOffsets_i8_i32_memref,historical resident sweep,raised best of 20; retained native baseline
