id,family,dimension,operation,variant,source,function,upstream_file,upstream_symbol,frontend_ok,raise_ok,linalg_ops,residual_loops,fully_raised
curlcurl_apply_2d,de_rham,2,curl_curl_apply,original,original/de_rham_apply.c,mfem_pa_curlcurl_apply_2d,fem/integ/bilininteg_hcurl_kernels.cpp,PACurlCurlApply2D,true,true,13,12,false
divdiv_apply_2d,de_rham,2,div_div_apply,original,original/de_rham_apply.c,mfem_pa_divdiv_apply_2d,fem/integ/bilininteg_hdiv_kernels.cpp,PADivDivApply2D,true,true,13,12,false
divdiv_apply_3d,de_rham,3,div_div_apply,original,original/de_rham_apply.c,mfem_pa_divdiv_apply_3d,fem/integ/bilininteg_hdiv_kernels.cpp,PADivDivApply3D,true,true,17,20,false
curlcurl_apply_3d,de_rham,3,curl_curl_apply_symmetric,original,original/hcurl3_apply.c,mfem_pa_curlcurl_apply_3d,fem/integ/bilininteg_hcurl_kernels.hpp,PACurlCurlApply3D,true,true,100,16,false
interp_value_2d_scratch_sliced,sum_factorization,2,interpolate_value,normalized,normalized/value_scratch_sliced.c,mfem_interp_value_2d_scratch_sliced,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_2d,true,true,8,0,true
interp_value_3d_scratch_sliced,sum_factorization,3,interpolate_value,normalized,normalized/value_scratch_sliced.c,mfem_interp_value_3d_scratch_sliced,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_3d,true,true,12,0,true
integrate_value_2d_scratch_sliced,sum_factorization,2,integrate_value,normalized,normalized/value_scratch_sliced.c,mfem_integrate_value_2d_scratch_sliced,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_2d,true,true,6,0,true
integrate_value_3d_scratch_sliced,sum_factorization,3,integrate_value,normalized,normalized/value_scratch_sliced.c,mfem_integrate_value_3d_scratch_sliced,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_3d,true,true,10,0,true
mass_apply_2d_stage_sliced,partial_assembly,2,mass_apply,normalized,normalized/mass_stage_sliced.c,mfem_pa_mass_apply_2d_stage_sliced,fem/integ/bilininteg_mass_kernels.hpp,PAMassApply2D_Element,true,true,16,0,true
mass_apply_3d_stage_sliced,partial_assembly,3,mass_apply,normalized,normalized/mass_stage_sliced.c,mfem_pa_mass_apply_3d_stage_sliced,fem/integ/bilininteg_mass_kernels.hpp,PAMassApply3D_Element,true,true,24,0,true
interp_grad_2d_stage_sliced,sum_factorization,2,interpolate_gradient,normalized,normalized/gradient_stage_sliced.c,mfem_interp_grad_2d_stage_sliced,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_2d,true,true,16,0,true
interp_grad_3d_stage_sliced,sum_factorization,3,interpolate_gradient,normalized,normalized/gradient_stage_sliced.c,mfem_interp_grad_3d_stage_sliced,fem/dfem/interpolate.hpp,map_field_to_quadrature_data_tensor_product_3d,true,true,32,0,true
integrate_grad_2d_stage_sliced,sum_factorization,2,integrate_gradient,normalized,normalized/gradient_stage_sliced.c,mfem_integrate_grad_2d_stage_sliced,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_2d,true,true,18,0,true
integrate_grad_3d_stage_sliced,sum_factorization,3,integrate_gradient,normalized,normalized/gradient_stage_sliced.c,mfem_integrate_grad_3d_stage_sliced,fem/dfem/integrate.hpp,map_quadrature_data_to_fields_tensor_impl_3d,true,true,38,0,true
diffusion_apply_2d_stage_sliced,partial_assembly,2,diffusion_apply_symmetric,normalized,normalized/diffusion_stage_sliced.c,mfem_pa_diffusion_apply_2d_stage_sliced,fem/integ/bilininteg_diffusion_kernels.hpp,PADiffusionApply2D,true,true,34,0,true
diffusion_apply_3d_stage_sliced,partial_assembly,3,diffusion_apply_symmetric,normalized,normalized/diffusion_stage_sliced.c,mfem_pa_diffusion_apply_3d_stage_sliced,fem/integ/bilininteg_diffusion_kernels.hpp,PADiffusionApply3D,true,true,70,0,true
convection_apply_2d_stage_sliced,partial_assembly,2,convection_apply,normalized,normalized/convection_stage_sliced.c,mfem_pa_convection_apply_2d_stage_sliced,fem/integ/bilininteg_convection_kernels.hpp,PAConvectionApply2D,true,true,26,0,true
convection_apply_3d_stage_sliced,partial_assembly,3,convection_apply,normalized,normalized/convection_stage_sliced.c,mfem_pa_convection_apply_3d_stage_sliced,fem/integ/bilininteg_convection_kernels.hpp,PAConvectionApply3D,true,true,46,0,true
elasticity_qpoint_2d_scalarized,quadrature_function,2,isotropic_linear_elasticity,normalized,normalized/elasticity_scalarized.c,mfem_elasticity_qpoint_2d_scalarized,fem/integ/bilininteg_elasticity_kernels.hpp,ElasticityAddMultPA_<2>,true,true,8,0,true
elasticity_qpoint_3d_scalarized,quadrature_function,3,isotropic_linear_elasticity,normalized,normalized/elasticity_scalarized.c,mfem_elasticity_qpoint_3d_scalarized,fem/integ/bilininteg_elasticity_kernels.hpp,ElasticityAddMultPA_<3>,true,true,18,0,true
curlcurl_apply_2d_stage_sliced,de_rham,2,curl_curl_apply,normalized,normalized/de_rham2_stage_sliced.c,mfem_pa_curlcurl_apply_2d_stage_sliced,fem/integ/bilininteg_hcurl_kernels.cpp,PACurlCurlApply2D,true,true,36,0,true
divdiv_apply_2d_stage_sliced,de_rham,2,div_div_apply,normalized,normalized/de_rham2_stage_sliced.c,mfem_pa_divdiv_apply_2d_stage_sliced,fem/integ/bilininteg_hdiv_kernels.cpp,PADivDivApply2D,true,true,36,0,true
divdiv_apply_3d_stage_sliced,de_rham,3,div_div_apply,normalized,normalized/divdiv3_stage_sliced.c,mfem_pa_divdiv_apply_3d_stage_sliced,fem/integ/bilininteg_hdiv_kernels.cpp,PADivDivApply3D,true,true,66,0,true
curlcurl_apply_3d_stage_sliced,de_rham,3,curl_curl_apply_symmetric,normalized,normalized/curlcurl3_stage_sliced.c,mfem_pa_curlcurl_apply_3d_stage_sliced,fem/integ/bilininteg_hcurl_kernels.hpp,PACurlCurlApply3D,true,true,146,0,true
