kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_cumsum,284.352,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_cumsum torch_resident_us=284.352 timing=sync_wall shape='N=4194304'
aten_dense_sparse_add_cpu,311.040,PASS,torch_resident_us,sync_wall,C=2047_N=16380_R=2047,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_dense_sparse_add_cpu torch_resident_us=311.040 timing=sync_wall shape='C=2047_N=16380_R=2047'
aten_div,312.416,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_div torch_resident_us=312.416 timing=sync_wall shape='N=4194304'
aten_div_floor,375.744,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_div_floor torch_resident_us=375.744 timing=sync_wall shape='N=4194304'
aten_dot,491.104,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_dot torch_resident_us=491.104 timing=sync_wall shape='N=4194304'
aten_elu,228.960,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_elu torch_resident_us=228.960 timing=sync_wall shape='N=4194304'
aten_elu_backward,386.528,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_elu_backward torch_resident_us=386.528 timing=sync_wall shape='N=4194304'
aten_erf,226.848,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_erf torch_resident_us=226.848 timing=sync_wall shape='N=4194304'
aten_erfc,224.000,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_erfc torch_resident_us=224.000 timing=sync_wall shape='N=4194304'
aten_exp,225.312,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_exp torch_resident_us=225.312 timing=sync_wall shape='N=4194304'
