kernel,native_device_us,source,method,shape,hardware,date
aten_softmax,381.728,torch.softmax shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_log_softmax,203.520,torch.log_softmax (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_layer_norm,729.440,torch.layer_norm shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_rms_norm,1028.928,torch.rms_norm shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: N8388608,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_group_norm,247.104,torch.group_norm (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_instance_norm,335.008,torch.instance_norm (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_batch_norm,482.976,torch.batch_norm shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: B32 C64 H64 W64,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_max_pool2d,382.400,torch.max_pool2d shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: B32 C64 H64 W64 K2 S2,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_avg_pool2d,64.032,torch.avg_pool2d shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: B=2 C=4 I=16x16 O=8x8 K=S=2,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_adaptive_avg_pool2d,389.376,torch.adaptive_avg_pool2d shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: B=4 C=32 H=256 W=256 OH=128 OW=128,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_adaptive_max_pool2d,560.608,torch.adaptive_max_pool2d (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_max_pool3d,76.832,torch.max_pool3d (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_avg_pool3d,68.992,torch.avg_pool3d shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: B=2 C=3 I=8x8x8 O=4x4x4 K=S=2,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_adaptive_avg_pool3d,76.096,torch.adaptive_avg_pool3d shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: B=2 C=3 I=8x8x8 O=4x4x4,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_upsample_nearest2d,393.184,torch.upsample_nearest2d (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_upsample_bilinear2d,1439.648,torch.upsample_bilinear2d (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_upsample_bicubic2d,2321.312,torch.upsample_bicubic2d (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_conv2d,491.904,torch.conv2d shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: B8 IC32 OC64 H64 W64 KH3 KW3,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_conv1d,234.080,torch.conv1d (real ATen dispatch),torch_2.6.0_cu126_cudaEvent,raised-fixture-matched,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_conv3d,1103.712,torch.conv3d shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: B1 IC8 OC16 D48 H48 W48 K3,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
aten_conv_transpose2d,469.920,torch.conv_transpose2d shape-matched,torch_2.6.0_cu126_cudaEvent_largeproblem,large-problem: B=2 IC=16 OC=32 H=128 W=128 K=3,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-28
