kernel,base_op,status
aten_sparse_addmv_csr_cpu,sparse_addmv_csr,covered
aten_sparse_csr_add_dense_cpu,sparse_csr_add_dense,covered
aten_sparse_csr_addmm_cpu,sparse_csr_addmm,covered
aten_sparse_full_coo_indices_cpu,sparse_full_coo_indices,missing
aten_sparse_intersection_apply_cpu,sparse_intersection_apply,missing
aten_sparse_intersection_launch_cpu,sparse_intersection_launch,missing
aten_sparse_mul_cpu,sparse_mul,covered
aten_sparse_norm_cpu,sparse_norm,covered
aten_sparse_sum_backward_cpu,sparse_sum,covered
aten_sparse_sum_cpu,sparse_sum,covered
aten_spherical_bessel_j0,spherical_bessel_j0,covered
aten_split_copy_cpu,split_copy,covered
aten_sqrt,sqrt,covered
aten_square,square,missing
aten_sspaddmm_cpu,sspaddmm,covered
aten_stack_serial_cpu,stack,missing
aten_standard_gamma_grad_cpu,standard_gamma_grad,covered
aten_std_var_cpu,std_var,covered
aten_sum,sum,covered
aten_sum_cpu_backend,sum_cpu_backend,covered
aten_tan,tan,missing
aten_tanh,tanh,covered
aten_tanh_backward,tanh,covered
aten_threshold_backward,threshold,covered
aten_topk_cpu,topk,missing
aten_trace_cpu,trace,missing
aten_transpose_copy,transpose_copy,covered
aten_trigamma,trigamma,covered
aten_tril_indices_cpu,tril_indices,covered
aten_trilinear_cpu,trilinear,covered
aten_triu_indices_cpu,triu_indices,covered
aten_triu_mask_cpu,triu_mask,covered
aten_triu_tril_batch_cpu,triu_tril_batch,covered
aten_triu_tril_single_cpu,triu_tril_single,covered
aten_trunc,trunc,covered
aten_unbind_copy_cpu,unbind_copy,covered
aten_unfold3d_acc_cpu,unfold3d_acc,missing
aten_unfold3d_copy_cpu,unfold3d_copy,covered
aten_unfold3d_zero_acc_cpu,unfold3d_zero_acc,missing
aten_unfold3d_zero_copy_cpu,unfold3d_zero_copy,covered
aten_unfold_backward_cpu,unfold,missing
aten_unfolded2d_acc_cpu,unfolded2d_acc,missing
aten_unfolded2d_copy_cpu,unfolded2d_copy,covered
aten_uniform_cpu,uniform,covered
aten_unique_bool_cpu,unique_bool,covered
aten_unique_consecutive_cpu,unique_consecutive,covered
aten_unique_dim_impl_cpu,unique_dim,covered
aten_unique_dim_template_cpu,unique_dim,covered
aten_unpack_pivots_cpu,unpack_pivots,missing
aten_unsafe_index_cpu,unsafe_index,covered
aten_upper_bound_cpu,upper_bound,missing
aten_upsample_bicubic2d_aa_backward_cpu,upsample_bicubic2d_aa,covered
aten_upsample_bicubic2d_aa_cpu,upsample_bicubic2d_aa,covered
aten_upsample_bicubic2d_backward_cpu,upsample_bicubic2d,covered
aten_upsample_bicubic2d_cpu,upsample_bicubic2d,covered
aten_upsample_bilinear2d,upsample_bilinear2d,covered
aten_upsample_bilinear2d_aa_backward_cpu,upsample_bilinear2d_aa,covered
aten_upsample_bilinear2d_aa_cpu,upsample_bilinear2d_aa,covered
aten_upsample_bilinear2d_backward_cpu,upsample_bilinear2d,covered
aten_upsample_bilinear2d_cpu,upsample_bilinear2d,covered
aten_upsample_linear1d_backward_cpu,upsample_linear1d,covered
aten_upsample_linear1d_cpu,upsample_linear1d,covered
aten_upsample_nearest1d_backward_cpu,upsample_nearest1d,covered
aten_upsample_nearest1d_cpu,upsample_nearest1d,covered
aten_upsample_nearest2d,upsample_nearest2d,covered
aten_upsample_nearest2d_backward_cpu,upsample_nearest2d,covered
aten_upsample_nearest2d_cpu,upsample_nearest2d,covered
aten_upsample_nearest3d_backward_cpu,upsample_nearest3d,covered
aten_upsample_nearest3d_cpu,upsample_nearest3d,covered
aten_upsample_nearest_exact1d_backward_cpu,upsample_nearest_exact1d,covered
aten_upsample_nearest_exact1d_cpu,upsample_nearest_exact1d,covered
aten_upsample_nearest_exact2d_backward_cpu,upsample_nearest_exact2d,covered
aten_upsample_nearest_exact2d_cpu,upsample_nearest_exact2d,covered
aten_upsample_nearest_exact3d_backward_cpu,upsample_nearest_exact3d,covered
aten_upsample_nearest_exact3d_cpu,upsample_nearest_exact3d,covered
aten_upsample_trilinear3d_backward_cpu,upsample_trilinear3d,covered
aten_upsample_trilinear3d_cpu,upsample_trilinear3d,covered
aten_vector_norm_out_cpu,vector_norm,covered
aten_weight_norm_backward_cpu,weight_norm,covered
aten_weight_norm_cpu,weight_norm,covered
aten_weight_to_int4pack_cpu,weight_to_int4pack,missing
aten_where_cpu,where,covered
aten_xlog1py,xlog1py,covered
aten_xlogy,xlogy,covered
aten_xor_sum_cpu,xor_sum,covered
aten_zeros_cpu,zeros,missing
