kernel,resident_us,warm_us,device_speedup,shape,errors,hardware,date,timing,process_runs,warmups,correctness_scope
aten_mish,1266.047852,1315.731152,1.039243,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_mish_backward,1110.208008,2277.583984,2.051493,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_mse_backward,888.800,6721.702,7.563,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_mse_elementwise,892.640,6602.653,7.397,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_mul,854.559570,1737.472119,2.033178,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_nansum_cpu,1835.007812,9169.971191,4.997238,R=131072_K=64,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,1,5,device_pointer_output_vs_C_reference
aten_narrow_copy_dense_cpu,81.504,645.789,7.923,R=1448_C=2896_L=724,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_neg,1227.392090,1276.355176,1.039892,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_nested_all_cpu,1836.288086,4404.553662,2.398618,B=724_N=5793,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_nested_clone_cpu,213.216,1750.474,8.210,N=5793_B=724,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_nested_matmul_broadcast_cpu,1021.664,1097.078,1.074,N=222_K=266_B=89_M=178,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_nested_squeeze_cpu,206.848,1660.346,8.027,N=5693_B=710,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_nested_sum_backward_cpu,644.063965,697.366357,1.082759,B=724_N=5793,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_nested_sum_dim_cpu,1844.735840,4022.207910,2.180371,B=724_N=5793,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_normal_cpu,636.672,4699.552,7.381,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_outer,988.671875,991.929590,1.003295,M=2048_N=2048,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_pixel_shuffle,1375.712,1672.867,1.216,B=9_C=14_H=19_R=9_W=19,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_pixel_shuffle_cpu_backend,1397.472,1707.885,1.222,B=4_C=13_H=32_RATIO=9_W=32,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
