kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_cosh,6203.446,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_cosh torch_cpu_us=6203.446 timing=sync_wall shape='N=4194304'
aten_count_nonzero_cpu,4456.769,PASS,torch_cpu_us,sync_wall,N=8388608,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_count_nonzero_cpu torch_cpu_us=4456.769 timing=sync_wall shape='N=8388608'
aten_count_nonzero_impl_cpu,34961.587,PASS,torch_cpu_us,sync_wall,R=131072_C=64,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_count_nonzero_impl_cpu torch_cpu_us=34961.587 timing=sync_wall shape='R=131072_C=64'
aten_cumprod_backward_cpu,46829.049,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_cumprod_backward_cpu torch_cpu_us=46829.049 timing=sync_wall shape='N=4194304'
aten_cumprod_cpu,5773.080,PASS,torch_cpu_us,sync_wall,K=2897_R=1448,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_cumprod_cpu torch_cpu_us=5773.080 timing=sync_wall shape='K=2897_R=1448'
aten_cumsum,6510.301,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_cumsum torch_cpu_us=6510.301 timing=sync_wall shape='N=4194304'
aten_dense_sparse_add_cpu,10703.133,PASS,torch_cpu_us,sync_wall,C=2047_N=16380_R=2047,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_dense_sparse_add_cpu torch_cpu_us=10703.133 timing=sync_wall shape='C=2047_N=16380_R=2047'
aten_div,7190.022,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_div torch_cpu_us=7190.022 timing=sync_wall shape='N=4194304'
aten_div_floor,7808.766,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_div_floor torch_cpu_us=7808.766 timing=sync_wall shape='N=4194304'
aten_dot,5895.959,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_dot torch_cpu_us=5895.959 timing=sync_wall shape='N=4194304'
aten_elu,7356.931,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_elu torch_cpu_us=7356.931 timing=sync_wall shape='N=4194304'
aten_elu_backward,5944.244,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_elu_backward torch_cpu_us=5944.244 timing=sync_wall shape='N=4194304'
aten_erf,6088.830,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_erf torch_cpu_us=6088.830 timing=sync_wall shape='N=4194304'
aten_erfc,4865.479,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_erfc torch_cpu_us=4865.479 timing=sync_wall shape='N=4194304'
aten_exp,4187.038,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_exp torch_cpu_us=4187.038 timing=sync_wall shape='N=4194304'
aten_exp2,4398.694,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_exp2 torch_cpu_us=4398.694 timing=sync_wall shape='N=4194304'
