source,canonical_origin,symbol,body_index,variant,canonical_nodes,variant_nodes,iterations,timeout_s,status,proof_elapsed_ms,wall_elapsed_ms,rule_matches,detail
mlir,mlir,cudnnMaxPoolFwd_batched,0:0,mul_one,6,8,8,5.0,match,16.063,346.016,20,
mlir,mlir,elemwise_div_scalar,0:0,add_zero,3,5,8,5.0,match,18.530,369.559,20,
mlir,mlir,elemwise_div_scalar,0:0,associate_left,3,3,8,5.0,match,14.265,341.343,0,
mlir,mlir,elemwise_div_scalar,0:0,associate_right,3,3,8,5.0,match,14.281,348.464,0,
mlir,mlir,elemwise_div_scalar,0:0,commute_all,3,3,8,5.0,match,19.862,428.637,0,
mlir,mlir,elemwise_div_scalar,0:0,mul_one,3,5,8,5.0,match,15.561,337.220,20,
mlir,mlir,fdtd_E_update,0:0,add_zero,11,13,8,5.0,match,17.034,357.655,24,
mlir,mlir,fdtd_E_update,0:0,associate_left,11,11,8,5.0,match,14.744,352.560,4,
mlir,mlir,fdtd_E_update,0:0,associate_right,11,11,8,5.0,match,20.521,442.842,4,
mlir,mlir,fdtd_E_update,0:0,commute_all,11,11,8,5.0,match,14.675,368.244,6,
mlir,mlir,fdtd_E_update,0:0,mul_one,11,13,8,5.0,match,25.673,437.358,24,
mlir,mlir,fdtd_E_update_tensor,0:0,add_zero,11,13,8,5.0,match,15.460,350.977,24,
mlir,mlir,fdtd_E_update_tensor,0:0,associate_left,11,11,8,5.0,match,14.819,340.581,4,
mlir,mlir,fdtd_E_update_tensor,0:0,associate_right,11,11,8,5.0,match,14.038,332.742,4,
mlir,mlir,fdtd_E_update_tensor,0:0,commute_all,11,11,8,5.0,match,16.361,336.806,6,
mlir,mlir,fdtd_E_update_tensor,0:0,mul_one,11,13,8,5.0,match,15.607,344.609,24,
mlir,mlir,fdtd_update_2in,0:0,add_zero,7,9,8,5.0,match,18.072,389.366,22,
mlir,mlir,fdtd_update_2in,0:0,associate_left,7,7,8,5.0,match,14.816,348.438,2,
mlir,mlir,fdtd_update_2in,0:0,associate_right,7,7,8,5.0,match,14.776,425.187,2,
mlir,mlir,fdtd_update_2in,0:0,commute_all,7,7,8,5.0,match,20.204,392.506,3,
mlir,mlir,fdtd_update_2in,0:0,mul_one,7,9,8,5.0,match,15.406,364.347,22,
mlir,mlir,fdtd_update_2in_tensor,0:0,add_zero,7,9,8,5.0,match,21.692,446.469,22,
mlir,mlir,fdtd_update_2in_tensor,0:0,associate_left,7,7,8,5.0,match,14.349,317.705,2,
mlir,mlir,fdtd_update_2in_tensor,0:0,associate_right,7,7,8,5.0,match,13.637,321.293,2,
mlir,mlir,fdtd_update_2in_tensor,0:0,commute_all,7,7,8,5.0,match,19.465,381.953,3,
mlir,mlir,fdtd_update_2in_tensor,0:0,mul_one,7,9,8,5.0,match,19.240,372.778,22,
mlir,mlir,heat_3d_7pt,0:0,add_zero,31,33,8,5.0,match,57.444,382.240,1777,
mlir,mlir,heat_3d_7pt,0:0,associate_left,31,31,8,5.0,match,36.357,371.023,823,
mlir,mlir,heat_3d_7pt,0:0,associate_right,31,31,8,5.0,match,34.701,384.091,872,
mlir,mlir,heat_3d_7pt,0:0,commute_all,31,31,8,5.0,match,38.333,411.968,1058,
mlir,mlir,heat_3d_7pt,0:0,mul_one,31,33,8,5.0,match,59.353,402.327,2729,
mlir,mlir,heat_3d_7pt_tensor,0:0,add_zero,31,33,8,5.0,match,83.039,445.812,1777,
mlir,mlir,heat_3d_7pt_tensor,0:0,associate_left,31,31,8,5.0,match,38.471,373.883,823,
mlir,mlir,heat_3d_7pt_tensor,0:0,associate_right,31,31,8,5.0,match,34.779,369.182,872,
mlir,mlir,heat_3d_7pt_tensor,0:0,commute_all,31,31,8,5.0,match,38.868,351.431,1058,
mlir,mlir,heat_3d_7pt_tensor,0:0,mul_one,31,33,8,5.0,match,56.421,398.506,2729,
mlir,mlir,jacobi_1d_3pt,0:0,add_zero,7,9,8,5.0,match,23.068,445.329,151,
mlir,mlir,jacobi_1d_3pt,0:0,associate_left,7,7,8,5.0,match,16.295,357.890,73,
mlir,mlir,jacobi_1d_3pt,0:0,associate_right,7,7,8,5.0,match,18.037,352.502,72,
mlir,mlir,jacobi_1d_3pt,0:0,commute_all,7,7,8,5.0,match,16.669,368.333,86,
mlir,mlir,jacobi_1d_3pt,0:0,mul_one,7,9,8,5.0,match,18.055,412.799,308,
mlir,mlir,jacobi_1d_3pt_tensor,0:0,add_zero,7,9,8,5.0,match,26.966,360.780,151,
mlir,mlir,jacobi_1d_3pt_tensor,0:0,associate_left,7,7,8,5.0,match,15.238,337.938,73,
mlir,mlir,jacobi_1d_3pt_tensor,0:0,associate_right,7,7,8,5.0,match,20.264,321.979,72,
mlir,mlir,jacobi_1d_3pt_tensor,0:0,commute_all,7,7,8,5.0,match,15.572,310.660,86,
mlir,mlir,jacobi_1d_3pt_tensor,0:0,mul_one,7,9,8,5.0,match,20.499,320.525,308,
mlir,mlir,jacobi_2d_5pt,0:0,add_zero,11,13,8,5.0,match,21.765,416.413,888,
mlir,mlir,jacobi_2d_5pt,0:0,associate_left,11,11,8,5.0,match,21.519,373.250,1145,
mlir,mlir,jacobi_2d_5pt,0:0,associate_right,11,11,8,5.0,match,19.375,364.316,983,
mlir,mlir,jacobi_2d_5pt,0:0,commute_all,11,11,8,5.0,match,29.315,473.998,1240,
mlir,mlir,jacobi_2d_5pt,0:0,mul_one,11,13,8,5.0,match,26.606,353.904,1792,
mlir,mlir,jacobi_2d_5pt_tensor,0:0,add_zero,11,13,8,5.0,match,22.717,364.224,888,
mlir,mlir,jacobi_2d_5pt_tensor,0:0,associate_left,11,11,8,5.0,match,18.612,315.859,1145,
mlir,mlir,jacobi_2d_5pt_tensor,0:0,associate_right,11,11,8,5.0,match,19.692,352.907,983,
mlir,mlir,jacobi_2d_5pt_tensor,0:0,commute_all,11,11,8,5.0,match,29.744,359.709,1240,
