kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state,cpu_samples,cpu_median_us,cpu_errors,native_gpu_samples,native_gpu_median_us,native_gpu_errors,raised_samples,raised_median_us,raised_errors,three_way_status
aten_avg_pool3d,1,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=2_C=3_D=8_H=8_W=8,f32,64727eb4df598924,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"10.080,10.560,9.664,8.704,8.480",9.664000,,"28.032000,55.392000,34.592000,48.032000,28.288000",34.592000,0,,,,PENDING
aten_avg_pool3d_backward_cpu,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=1_C=2_I0=6_I1=7_I2=8,f32,5be05477d0f38b1d,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"20.032,20.512,19.840,18.272,17.760",19.840000,,"36.640000,59.808000,62.560000,40.480000,59.072000",59.072000,0,,,,PENDING
aten_batch_norm_cpu_entry,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,dfec3f0041ccf405,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"6649.792000,6776.768000,6693.024000,6609.760000,6714.976000",6693.024000,0,"796.352000,795.584000,795.680000,796.896000,788.928000",795.680000,0,"633.760010,632.736008,634.080002,642.880005,638.112000",634.080002,0,PENDING
aten_blas_axpy_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,6052b858c06bd41d,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"3044.608000,3113.664000,3117.152000,3101.856000,3089.824000",3101.856000,0,"317.856000,313.696000,314.720000,314.592000,314.560000",314.592000,0,"521.087997,518.496002,517.087997,518.399994,521.823990",518.496002,0,PENDING
aten_blas_copy_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,360a1fed35fdcb46,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"1753.984000,1707.456000,1713.856000,1698.464000,1700.160000",1707.456000,0,"218.368000,220.768000,215.808000,216.832000,219.712000",218.368000,0,"204.000000,203.488007,208.480011,203.104004,203.360001",203.488007,0,PENDING
aten_blas_scale_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,cf3d9e50f32fba45,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"3504.896000,3402.816000,3550.816000,3557.728000,3458.944000",3504.896000,0,"427.200000,429.056000,427.680000,427.968000,427.136000",427.680000,0,"236.031998,234.783997,238.815994,234.879990,234.528000",234.879990,0,PENDING
aten_bmm,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,BATCH=70_K=282_M=141_N=211,f32,c132d6acaaae7ca9,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"41754.272,41767.776,41678.176,41726.336,41849.824",41754.272000,,"860.928000,862.368000,864.448000,859.488000,859.424000",860.928000,0,,,,PENDING
aten_cat_serial_cpu,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,K=3096_M=581_R=774,f32,8969bf611c743094,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"1784.576,1807.552,1776.608,1728.736,1793.600",1784.576000,,"234.400000,232.544000,227.392000,233.184000,231.552000",232.544000,0,"257.439987,254.688004,253.151993,253.088013,256.703995",254.688004,0,PENDING
aten_ceil,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,99973374875367c6,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"1745.504,1751.488,1716.064,1733.088,1701.728",1733.088000,,"218.528000,224.512000,221.568000,219.296000,217.472000",219.296000,0,"1309.888000,1374.880005,1300.000000,1301.888000,1338.207993",1309.888000,0,PENDING
aten_channel_shuffle,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=14_CPG=28_G=14_H=28_W=28,f32,f199c08db2dbc190,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"3991.488000,3910.464000,3909.152000,4045.184000,3967.328000",3967.328000,0,"487.168000,487.392000,486.144000,486.944000,487.872000",487.168000,0,"225.984009,224.352005,225.695999,224.416000,226.399994",225.695999,0,PENDING
aten_channel_shuffle_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=17_CPG=26_G=34_S=276,f32,9c0f4efa20ff5874,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"5155.200000,5344.000000,5249.888000,5208.000000,5286.944000",5249.888000,0,"478.464000,475.488000,471.968000,476.352000,476.736000",476.352000,0,"245.344009,245.503998,241.759995,244.832001,246.048004",245.344009,0,PENDING
aten_clamp,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,732ae21a30b24a68,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"1808.416,1778.944,1757.408,1726.208,1739.968",1757.408000,,"228.544000,225.120000,225.536000,230.080000,226.400000",226.400000,0,"637.248001,634.912003,638.751999,640.095993,633.536011",637.248001,0,PENDING
aten_clamp_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,3cd8e32878aada7c,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,PENDING,"16128.640000,16088.768000,16091.904000,16069.600000,16079.104000",16088.768000,0,"406.784000,403.904000,404.960000,407.072000,413.472000",406.784000,0,"1125.376007,1120.895996,1121.503998,1124.928009,1127.712006",1124.928009,0,COMPLETE
aten_clamp_max_scalar_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,20afe51bff9319b3,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,PENDING,"1670.560000,1679.040000,1824.032000,1857.760000,1748.256000",1748.256000,0,"224.544000,225.824000,225.952000,229.248000,226.048000",225.952000,0,"629.216003,633.216003,628.959991,628.192001,628.255997",628.959991,0,COMPLETE
aten_clamp_min_scalar_cpu,2,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,79cad4471d373dda,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,PENDING,"16186.400000,16189.664000,16185.184000,16175.808000,16195.552000",16186.400000,0,"227.232000,226.848000,225.152000,228.480000,224.640000",226.848000,0,"636.031998,637.536011,632.095993,632.320007,630.688004",632.320007,0,COMPLETE
