kernel,correctness,problem,mapped_raised_us,device_resident_us,resident_cuda_us,mapped_over_resident,device_over_resident,mapped_over_device,hardware,statistic,notes
aten_fp16_gemv_f16arith_cpu,PASS,M=4096 K=8192 scalarized-f32,887.705572,817.222393,758.612854,1.170169,1.077259,1.086247,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_fp16_gemv_f32arith_cpu,PASS,M=4096 K=8192 scalarized-f32,881.356793,816.739199,758.652771,1.161739,1.076565,1.079117,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_fp16_gemv_notrans_cpu,PASS,M=4096 K=8192 scalarized-f32,881.727971,817.724795,758.255981,1.162837,1.078428,1.078270,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_fp16_gemv_trans_cpu,PASS,M=4096 K=8192 scalarized-f32 trans,905.977562,859.198393,793.486450,1.141768,1.082814,1.054445,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_gelu,PASS,N8388608,13344.268780,13047.495997,437.297546,30.515307,29.836655,1.022746,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_gelu_cpu_tanh,PASS,N=8388608,13357.612770,13104.711997,437.297546,30.545821,29.967495,1.019298,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_gemm_notrans_cpu,PASS,M=512 N=512 K=512,1685.900800,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,mapped PASS; cudaMalloc ABI wrapper host-memcpy limitation
aten_gemm_transa_cpu,PASS,M=512 N=512 K=512 GEMM_TRANS_A,1961.798407,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,mapped PASS; cudaMalloc ABI wrapper host-memcpy limitation
aten_gemm_transab_cpu,PASS,M=512 N=512 K=512 GEMM_TRANS_A/GEMM_TRANS_B,2006.079955,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,mapped PASS; cudaMalloc ABI wrapper host-memcpy limitation
aten_gemm_transb_cpu,PASS,M=512 N=512 K=512 GEMM_TRANS_B,1715.763239,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,mapped PASS; cudaMalloc ABI wrapper host-memcpy limitation
aten_linear_combination_cpu,PASS,N=8388608 terms=4,26803.936018,8614.001598,892.532837,30.031316,9.651187,3.111671,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_log,PASS,N=8388608 positive-domain,1508.672023,1490.617602,—,—,—,1.012112,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_max_pool2d,PASS,B32 C64 H64 W64 K2 S2,307.315215,249.563204,220.708786,1.392401,1.130735,1.231412,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_mish,PASS,N=8388608,1568.364818,1568.742399,—,—,—,0.999759,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_mm,PASS,M512 N512 K512,3822.054388,3818.451194,3772.609863,1.013106,1.012151,1.000944,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_mv,PASS,M4096 K4096,893.203216,846.494408,814.979126,1.095983,1.038670,1.055179,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_narrow_copy_dense_cpu,PASS,R=4096 C=4096 S=1024 L=2048,4895.276809,460.636802,439.467194,11.139118,1.048171,10.627194,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_neg,PASS,N=8388608,1489.017624,1490.537601,—,—,—,0.998980,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_nested_bmm_cpu,PASS,B=16 M=256 N=256 K=256,5883.724801,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,mapped PASS; cudaMalloc ABI wrapper host-memcpy limitation
aten_nested_clone_cpu,PASS,B=4096 N=4096,6831.084797,732.243201,695.862427,9.816717,1.052282,9.328984,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_nested_matmul_broadcast_cpu,PASS,B16 M256 N256 K256,240.403228,205.353601,176.012802,1.365828,1.166697,1.170679,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_nested_squeeze_cpu,PASS,B=4096 N=4096,6792.927999,734.804804,696.092773,9.758653,1.055613,9.244534,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_outer,PASS,M=4096 N=4096 f64,3854.073631,3849.785600,3810.022217,1.011562,1.010437,1.001114,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_reciprocal,PASS,N=8388608 positive-domain,1491.999999,1504.292805,—,—,—,0.991828,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_relu,PASS,—,1489.439979,1482.393593,—,—,—,1.004753,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_rms_norm,PASS,N8388608,13051.795214,2067.921602,841.404785,15.511910,2.457701,6.311552,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,RMS reduction reassociation tolerance 2e-3
aten_sigmoid,PASS,—,1492.454391,1493.622398,—,—,—,0.999218,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_silu,PASS,—,1512.134401,1518.524799,—,—,—,0.995792,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_silu_cpu,PASS,N=8388608,1535.871997,1526.803209,—,—,—,1.005940,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_sin,PASS,N=8388608,1576.147228,1543.015998,—,—,—,1.021472,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_sinh,PASS,N=8388608,1522.617601,1518.358395,—,—,—,1.002805,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_slow_conv3d_forward_cpu,PASS,C8 O16 D48 H48 W48 K3,726.438407,663.596799,364.764832,1.991525,1.819246,1.094698,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_softmax,PASS,N8388608,28666.707221,29239.145608,29212.042969,0.981332,1.000928,0.980422,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_sparse_bmm_cpu,PASS,B=16 M=256 N=256 K=256,5923.987180,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,mapped PASS; cudaMalloc ABI wrapper host-memcpy limitation
aten_sqrt,PASS,N=8388608 positive-domain,1509.299176,1487.793599,—,—,—,1.014455,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_sumproduct_pair_cpu,PASS,B=16 M=256 N=256 K=256,5917.670391,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,mapped PASS; cudaMalloc ABI wrapper host-memcpy limitation
aten_tan,PASS,N=8388608,1596.230408,1583.708799,—,—,—,1.007907,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_tanh,PASS,—,1492.140815,1485.321601,—,—,—,1.004591,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_unbind_copy_cpu,PASS,B=4096 N=4096,6792.947184,736.286398,702.041626,9.675989,1.048779,9.225958,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_zeros_cpu,PASS,N=16777216,2255.948773,392.128003,374.880005,6.017789,1.046009,5.753093,Jetson Orin sm87 MAXN CUDA 12.6,median process runs 2-4; 20 timed calls/process,correctness-gated
aten_upsample_bilinear2d,PASS,B=4096 C=3 H=4 W=4,6388.454400,5472.800003,—,—,—,1.167310,Jetson Orin sm87 MAXN CUDA 12.6,median of 5 sequential process warm means and resident best-of-20 timings,cuDNN Backend ResampleFwd; errors=0 max_error=1.19209e-07
aten_compressed_block_convert_cpu,PASS,R=2048 C=2048 BR=4 BC=4,2071.513601,2047.680000,—,—,—,1.011639,Jetson Orin sm87 MAXN CUDA 12.6,median of 5 sequential process warm means and resident best-of-20 timings,cuTENSOR rank-4 mode permutation over zero-copy strided reshape; errors=0 max_error=0
aten_allany_dims_cpu,PASS,R=131072 C=64,16174.080000,7182.464001,—,—,—,2.251885,Jetson Orin sm87 MAXN CUDA 12.6,median of 5 sequential process warm means and resident best-of-20 timings,CUB DeviceSegmentedReduce with runtime-selected logical AND/OR; errors=0 max_error=0
aten_argmax_cpu,PASS,R=131072 K=64,24559.094400,14085.503998,—,—,—,1.743572,Jetson Orin sm87 MAXN CUDA 12.6,median of 5 sequential process warm means and resident best-of-20 timings,CUB DeviceSegmentedReduce argmax; first-index ties and first/later NaNs validated; errors=0 max_error=0
aten_argmin_cpu,PASS,R=131072 K=64,24712.825601,14041.344002,—,—,—,1.760004,Jetson Orin sm87 MAXN CUDA 12.6,median of 5 sequential process warm means and resident best-of-20 timings,CUB DeviceSegmentedReduce argmin; first-index ties and first/later NaNs validated; errors=0 max_error=0
